Name
	
Type
	
Cat.
	
Power
	
Acc.
	
PP
	
Effect
Acid Spray	Poison	Special 	40 	100 	20 	Sharply lowers opponent's Special Defense.
Synchronoise	Psychic	Special 	120 	100 	10 	Hits any Pokémon that shares a type with the user.
Tail Slap	Normal	Physical 	25 	85 	10 	Hits 2-5 times in one turn.
Techno Blast	Normal	Special 	120 	100 	5 	Type depends on the Drive being held.
Telekinesis	Psychic	Status 	— 	— 	15 	Ignores opponent's Evasiveness for three turns, add Ground immunity.
V-create	Fire	Physical 	180 	95 	5 	Lowers user's Defense, Special Defense and Speed.
Venoshock	Poison	Special 	65 	100 	10 	Inflicts double damage if the target is poisoned.
Volt Switch	Electric	Special 	70 	100 	20 	User must switch out after attacking.
Water Pledge	Water	Special 	80 	100 	10 	Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.
Wide Guard	Rock	Status 	— 	— 	10 	Protects the user's team from multi-target attacks.
Wild Charge	Electric	Physical 	90 	100 	15 	User receives recoil damage.
Wonder Room	Psychic	Status 	— 	— 	10 	Swaps every Pokémon's Defense and Special Defense for 5 turns.
Work Up	Normal	Status 	— 	— 	30 	Raises user's Attack and Special Attack.
